ST,Human,Supplier A,Supplier B,Supplier C,Bovine,Ovine,Environment
5,0,0,0,0,0,0,0
21,7,0,1,0,4,1,0
25,1,2,0,2,0,0,1
38,13,0,0,0,1,0,0
42,19,4,0,0,11,18,1
45,41,36,15,23,2,2,16
48,42,1,27,7,0,0,0
50,23,5,21,13,12,22,1
51,0,0,0,0,0,0,0
52,17,6,0,0,0,0,0
53,27,10,4,3,24,1,0
61,14,0,0,0,8,14,1
81,1,0,0,0,0,0,0
137,1,0,0,0,0,0,2
177,0,0,0,0,0,0,2
190,21,8,0,0,7,8,0
219,1,0,0,0,0,0,0
227,0,1,0,0,0,0,0
257,12,10,4,0,0,0,0
354,23,3,0,1,0,0,0
393,0,0,0,0,0,1,0
403,1,0,0,0,0,0,0
422,3,0,0,0,2,19,3
436,4,0,0,0,2,3,2
451,8,0,0,20,0,0,0
459,1,0,0,0,0,0,0
474,154,27,2,0,5,2,2
520,8,5,0,2,6,3,0
526,0,0,0,0,0,0,1
578,1,0,0,0,0,0,0
583,9,8,0,4,0,1,1
618,0,0,0,0,0,1,0
658,2,0,0,0,0,0,0
677,5,0,1,0,0,1,1
694,0,0,0,0,0,0,1
829,1,0,0,0,0,0,0
1030,0,0,0,0,0,0,1
1115,0,0,0,0,1,0,0
1191,0,0,0,0,0,1,0
1223,0,0,0,0,0,0,1
1225,0,0,0,0,0,0,7
1243,0,0,0,0,0,0,1
1457,1,0,0,0,0,0,0
1517,4,0,6,0,0,7,0
1581,1,0,5,0,0,0,0
1707,1,0,0,0,0,0,0
1818,0,0,1,0,0,0,0
1911,0,0,1,0,0,0,0
2026,11,0,0,0,5,18,0
2140,0,0,0,0,0,0,0
2219,1,0,0,0,0,0,0
2343,1,0,0,0,0,0,0
2345,3,1,11,0,0,0,0
2347,0,0,0,0,0,0,1
2350,2,0,0,0,1,0,0
2354,0,0,0,0,0,0,1
2381,0,0,0,0,0,0,16
2391,1,1,0,0,0,0,0
2392,0,0,0,0,0,1,0
2397,0,0,3,0,0,0,0
2535,0,0,0,1,0,0,0
2584,0,0,0,0,0,0,1
2619,0,0,0,0,0,0,1
3072,1,0,0,0,2,0,0
3222,1,0,0,0,0,0,0
3230,0,0,0,1,0,0,0
3232,0,0,0,0,0,2,0
3301,0,0,0,0,0,0,1
3538,1,0,0,0,0,0,1
3609,0,0,15,0,0,0,0
3610,0,0,0,0,0,2,1
3640,0,0,0,0,0,0,1
3655,0,0,0,0,0,0,2
3656,0,0,0,0,0,0,1
3657,0,0,0,0,0,0,1
3658,0,0,0,0,0,0,1
3659,0,0,0,0,0,0,2
3660,0,0,0,0,0,0,1
3661,0,0,0,0,0,0,1
3662,0,0,0,0,0,0,2
3663,0,0,0,0,0,0,2
3664,0,0,0,0,0,0,1
3672,0,0,0,0,0,0,1
3673,0,0,0,0,0,0,1
3674,0,0,0,0,0,0,1
3675,0,0,0,0,0,0,1
3676,2,0,0,0,0,1,1
3711,2,0,0,1,0,2,0
3712,2,0,0,0,0,0,0
3713,0,0,0,0,0,0,0
3714,0,0,0,0,1,0,0
3715,1,0,0,0,0,0,0
3716,0,0,0,0,1,0,0
3717,1,0,0,3,0,0,0
3718,1,0,0,0,0,0,0
3719,0,0,1,0,0,1,0
3720,1,0,0,0,0,0,0
3721,0,1,0,0,0,0,0
3722,0,0,0,0,0,1,0
3723,0,0,0,0,1,0,0
3724,0,0,0,0,0,1,0
3725,0,0,1,0,0,0,0
3726,0,2,0,0,0,0,0
3727,1,0,0,0,0,0,0
3728,0,0,0,0,0,0,0
3784,1,0,0,0,0,0,0
3792,1,0,0,0,0,0,0
3793,0,0,0,0,0,2,0
3794,0,0,0,0,0,1,0
3795,0,0,0,0,0,1,0
3797,0,0,0,0,0,2,0
3798,0,0,0,0,1,0,0
3799,0,0,0,0,2,0,0
3800,0,0,0,0,0,0,1
3802,0,0,0,0,0,0,1
